Protein1,Protein2,Score,Experimental System Type
EXOC4,EXOC5,999,physical
EXOC4,EXOC1,999,physical
EXOC4,EXOC6,999,physical
EXOC4,EXOC3,999,physical
EXOC4,EXOC7,999,physical
EXOC4,EXOC2,999,physical
RARA,NCOR1,999,physical
RARA,RXRA,999,physical
PRKAB2,PRKAA2,999,physical
PRKAB2,PRKAG1,999,physical
SNRPA1,SNRPB2,999,physical
SNRPA1,SNRPD3,999,physical
ACTR10,DCTN4,999,physical
ACTR10,DCTN6,999,physical
ACTR10,DCTN2,999,physical
DCAF15,DDB1,999,physical
SMARCC1,SMARCB1,999,physical
SMARCC1,ARID1A,999,physical
SMARCC1,SMARCA2,999,physical
SMARCC1,SMARCD1,999,physical
SMARCC1,SMARCE1,999,physical
SMARCC1,SMARCC2,999,physical
SMARCC1,ACTL6A,999,physical
SMARCC1,SMARCA4,999,physical
PER2,CRY1,999,physical
RAMP1,CALCR,999,physical
RAMP1,CALCRL,999,physical
RPA1,RPA2,999,physical
RPA1,RPA3,999,physical
H3-3B,H4C9,999,physical
H3-3B,WDR5,999,physical
H3-3B,CBX5,999,physical
TERF2,TINF2,999,physical
TERF2,TERF2IP,999,physical
VPS4A,VTA1,999,physical
JAG1,NOTCH3,999,physical
SNAP25,STX1A,999,physical
SNAP25,VAMP2,999,physical
NXT1,NXF1,999,physical
NMUR2,NMU,999,physical
CCNA1,CDK2,999,physical
CCNA1,CDK1,999,physical
RFXAP,RFX5,999,physical
MED10,MED31,999,physical
MED10,MED6,999,physical
MED10,MED14,999,physical
MED10,MED21,999,physical
MED10,MED7,999,physical
EIF2S1,EIF2S2,999,physical
EIF2S1,EIF2S3,999,physical
ELP3,ELP1,999,physical
CCNB1,CDK1,999,physical
CDK7,CCNH,999,physical
CDK7,MNAT1,999,physical
CDK7,ERCC3,999,physical
CDK7,ERCC2,999,physical
CD180,LY86,999,physical
IRAK2,MYD88,999,physical
IRAK2,TRAF6,999,physical
IRAK2,IRAK4,999,physical
VHL,ELOB,999,physical
VHL,RBX1,999,physical
VHL,CUL2,999,physical
VHL,ELOC,999,physical
VHL,HIF1A,999,physical
LAMTOR5,LAMTOR3,999,physical
LAMTOR5,LAMTOR4,999,physical
LAMTOR5,LAMTOR2,999,physical
LAMTOR5,LAMTOR1,999,physical
DDB2,DDB1,999,physical
DDB2,CUL4A,999,physical
DDB2,RBX1,999,physical
TIMM10,TIMM9,999,physical
KLB,FGFR1,999,physical
KLB,FGF19,999,physical
APC,CTNNB1,999,physical
APC,GSK3B,999,physical
APC,AXIN1,999,physical
RINT1,ZW10,999,physical
ORC3,ORC6,999,physical
