gene1,gene2
ANKRD18B,NAIP
ANKRD18B,NBDY
ANKRD18B,NR2E3
ANKRD18B,OTOGL
ANKRD18B,PARG
ANKRD18B,PECAM1
ANKRD18B,PHACTR1
ANKRD18B,PIEZO2
ANKRD18B,PKD1L3
ANKRD18B,PLCXD1
ANKRD18B,PRKDC
ANKRD18B,PTPRQ
ANKRD18B,PYDC5
ANKRD18B,RHBG
ANKRD18B,RIOX1
ANKRD18B,SELENOF
ANKRD18B,SEMA3B
ANKRD18B,SHANK2
ANKRD18B,SLC25A6
ANKRD18B,SMAD5
ANKRD18B,SMIM26
ANKRD18B,SPATA1
ANKRD18B,SPDYE3
ANKRD18B,SPON1
ANKRD18B,SVOP
ANKRD18B,THSD7B
ANKRD18B,TTC6
ANKRD18B,VPS11
ANKRD18B,ZCCHC8
ANKRD18B,ZNF518A
ANKRD18B,ZSCAN12
ANKRD18B,ZSCAN26
ANKRD30BL,CFAP97D2
ANKRD30BL,HTD2
ANKRD30BL,TMSB4Y
ANKRD30BL,UBXN8
ANKRD30BL,UGT2B10
ANKRD30BL,ZAN
ANKRD30BL,ZNF724
ANKRD36B,CFAP74
ANKRD36B,FAM237A
ANKRD36B,FER1L5
ANKRD36B,FOXI3
ANKRD36B,LYPD8
ANKRD36B,OR14A2
ANKRD36B,TMEM275
ANKRD36C,BTBD19
ANKRD36C,CD99
ANKRD36C,LOC114841035
ANKRD36C,LRRC53
ANKRD36C,P2RY8
ANKRD36C,ZNF723
ANKRD36C,ZNF735
ANKRD40CL,C20orf203
ANKRD40CL,FBLL1
ANKRD40CL,FGF16
ANKRD40CL,GABRR3
ANKRD40CL,LOC112694756
ANKRD40CL,MMP24OS
ANKRD40CL,OVCH2
ANKRD40CL,PIK3R6
ANKRD40CL,POLDIP2
ANKRD40CL,PPP1R9B
ANKRD40CL,PVALEF
ANKRD40CL,SARM1
ANKRD40CL,SLC22A31
ANKRD40CL,SPEM3
ANKRD40CL,TRAPPC2
ANKRD40CL,UNC93B1
ANKRD40CL,ZSWIM9
ANKRD49,FKBPL
ANKRD60,ASMTL
ANKRD60,ATG9B
ANKRD60,ATP6V1FNB
ANKRD60,BTNL2
ANKRD60,C20orf204
ANKRD60,CD24
ANKRD60,CD99
ANKRD60,CFAP97D2
ANKRD60,DCDC2C
ANKRD60,DOCK1
ANKRD60,FAM240A
ANKRD60,HTD2
ANKRD60,ITIH5
ANKRD60,KIZ
ANKRD60,MYMX
ANKRD60,MYRFL
ANKRD60,PHACTR1
ANKRD60,PPP1R2C
ANKRD60,PRAMEF17
ANKRD60,RNF227
ANKRD60,SDR42E2
ANKRD60,SLC25A6
ANKRD60,SMAD5
ANKRD60,SMIM23
ANKRD60,SPADH
ANKRD60,TMEM132C
ANKRD60,TRIM64C
ANKRD60,TVP23C
ANKRD60,UBXN8
ANKRD60,XNDC1N
ANKRD60,ZNF525
ANKRD63,ASMTL
ANKRD63,ATP6V1FNB
ANKRD63,BECN2
ANKRD63,BTNL2
ANKRD63,C11orf97
ANKRD63,C13orf42
ANKRD63,C14orf132
ANKRD63,C17orf113
ANKRD63,C20orf204
ANKRD63,C2orf81
ANKRD63,C2orf92
ANKRD63,CCDC154
ANKRD63,CD24
ANKRD63,CEBPZOS
ANKRD63,CFAP97D2
ANKRD63,CLDN34
ANKRD63,COPZ2
ANKRD63,CSF2RA
ANKRD63,CTXND1
ANKRD63,CYFIP2
ANKRD63,DCAF1
ANKRD63,DCDC2C
ANKRD63,DCP1A
ANKRD63,DEXI
ANKRD63,DGKK
ANKRD63,DNAH17
ANKRD63,DNAH8
ANKRD63,DOCK1
ANKRD63,DPP6
ANKRD63,ERFL
ANKRD63,ERICH2
ANKRD63,EXOC1L
ANKRD63,FAM240A
ANKRD63,FOXD1
ANKRD63,HSH2D
ANKRD63,HTD2
ANKRD63,IZUMO1R
ANKRD63,KRBA1
ANKRD63,KRBOX4
ANKRD63,KRTAP1-3
ANKRD63,LOC389895
ANKRD63,LRRC9
ANKRD63,MALRD1
ANKRD63,MAP3K15
ANKRD63,MS4A4E
ANKRD63,MYMX
ANKRD63,MYO15B
ANKRD63,NBDY
ANKRD63,NCBP2AS2
ANKRD63,NCBP2L
ANKRD63,NOBOX
ANKRD63,NPIPB11
ANKRD63,NR2E3
ANKRD63,OR51F1
ANKRD63,OR56A5
ANKRD63,OTOGL
ANKRD63,OVCH1
ANKRD63,P3R3URF
